Name,PPG,APG,RBG,FG%,3PT%,FT%
Aaron Gordon,14.5,2.6,5.6,51.2,32.2,76.9
Aaron Holiday,6.7,2.7,2.0,44.1,35.5,84.1
Aaron Nesmith,6.5,0.7,2.5,42.2,33.5,80.4
Aaron Wiggins,8.6,1.5,3.7,44.9,26.7,75.4
Admiral Schofield,5.9,1.1,3.3,42.7,37.4,77.8
Al Horford,7.0,2.4,5.6,46.9,32.5,79.4
Alec Burks,9.9,2.8,4.5,38.3,38.5,79.7
Aleksej Pokusevski,9.3,2.9,5.7,43.7,31.7,67.9
Alex Caruso,7.8,4.3,3.7,41.4,36.2,77.7
Alex Len,6.1,1.2,3.9,54.0,24.4,66.5
Alize Johnson,2.8,0.7,3.9,43.8,0.0,58.3
Alperen Şengün,12.6,3.6,6.2,47.7,31.1,69.6
Amir Coffey,9.0,1.8,2.8,45.8,39.2,82.9
Andre Drummond,6.8,1.8,8.0,56.3,0.0,60.3
Andre Iguodala,3.6,2.3,2.8,38.0,23.0,75.0
Andrew Wiggins,16.6,2.3,4.3,45.8,30.7,68.2
Anfernee Simons,17.6,4.2,2.7,44.9,39.5,86.0
Anthony Davis,21.3,3.0,9.4,52.9,17.8,71.3
Anthony Edwards,24.5,4.3,5.1,43.7,32.8,78.2
Anthony Gill,4.6,0.7,2.1,54.8,48.6,76.4
Armoni Brooks,6.1,1.4,2.2,37.1,36.2,82.0
Austin Reaves,7.6,1.9,3.3,44.9,30.0,82.7
Austin Rivers,5.6,1.3,1.7,40.2,32.6,72.9
Avery Bradley,6.4,0.8,2.3,40.8,34.8,85.5
Ayo Dosunmu,9.9,3.7,3.1,51.4,33.7,69.3
Bam Adebayo,19.1,3.5,9.5,57.0,0.0,74.0
Ben McLemore,9.9,0.9,1.6,40.2,36.1,79.4
Ben Simmons,14.5,6.3,7.0,54.7,23.7,65.0
Bismack Biyombo,5.4,0.7,4.3,56.7,0.0,57.6
Blake Griffin,5.4,1.8,3.7,41.9,28.6,71.4
Boban Marjanović,4.4,0.1,1.6,57.0,29.2,73.0
Bobby Portis,13.6,1.2,8.5,47.1,37.8,77.9
Bogdan Bogdanović,13.1,2.9,3.5,41.5,33.3,79.7
Bojan Bogdanović,16.2,1.6,4.3,43.8,36.1,83.7
Bones Hyland,10.7,3.3,2.9,40.1,36.4,82.8
Brad Wanamaker,3.1,2.1,1.4,36.5,23.6,87.7
Bradley Beal,19.4,5.5,4.2,45.3,29.9,80.8
Brandon Boston Jr.,10.1,1.6,3.0,39.7,31.6,79.4
Brandon Clarke,10.6,1.3,5.1,64.6,30.6,65.7
Brandon Goodwin,5.1,2.8,2.1,40.9,33.1,65.4
Brandon Ingram,21.6,5.3,5.8,46.6,33.9,79.3
Brandon Williams,13.3,3.5,2.8,39.6,36.3,69.7
Bruce Brown,9.1,2.2,4.7,47.6,35.2,76.9
Bruno Fernando,4.9,0.3,2.8,65.4,41.6,75.4
Bryn Forbes,8.5,1.0,1.2,43.1,41.2,88.1
Buddy Hield,13.5,2.6,3.8,39.1,33.1,82.7
CJ Elleby,7.5,2.1,4.8,41.9,31.4,76.8
CJ McCollum,19.5,4.8,4.0,42.5,27.2,68.8
Cade Cunningham,18.5,5.7,5.6,42.9,32.5,82.0
Caleb Martin,8.4,1.1,3.6,48.7,37.6,74.9
Cam Reddish,11.3,1.1,2.3,41.0,35.1,87.4
Cam Thomas,10.7,1.5,2.7,46.4,29.6,80.4
Cameron Johnson,12.5,1.7,4.1,45.4,39.8,83.4
Cameron Payne,10.1,4.4,2.9,40.6,32.9,81.7
Caris LeVert,16.2,4.1,3.6,46.2,34.8,73.9
